t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
7.250000000000000000e+00,1.566892649922809865e-03,3.067201673984527588e-01,-1.685168445110321045e-01,5.226625204086303711e-01,-1.994021071834307379e-01,-7.354887007567810497e-02,-8.228517189589041880e-01,-2.142884043107519787e+00,1.135826935956872452e+00,6.846187001663783800e-01,8.107500834983494276e-01
7.266666666666666607e+00,1.560019505034921814e-03,3.066754043102264404e-01,-1.693207025527954102e-01,5.217157006263732910e-01,-1.996668535375739351e-01,-7.063363311077239248e-02,-8.253484276745755022e-01,-2.144103277214902459e+00,1.137030684879083431e+00,6.835960733997279437e-01,8.138031459774340837e-01
7.283333333333333215e+00,1.558796586156222181e-03,3.066567182540893555e-01,-1.701103895902633667e-01,5.207670927047729492e-01,-1.998503227338470911e-01,-6.783446198006234940e-02,-8.278096878123522018e-01,-2.145205261702967103e+00,1.138038888668440496e+00,6.828496205025854637e-01,8.167208290349411426e-01
7.299999999999999822e+00,1.589091888268759269e-03,3.066805899143218994e-01,-1.708212047815322876e-01,5.197811722755432129e-01,-1.998216096686732945e-01,-6.510038632584563834e-02,-8.302980755663743606e-01,-2.146597766457346346e+00,1.139227011838439330e+00,6.822514216158561684e-01,8.200213294314083745e-01
7.316666666666666430e+00,1.583900354102737431e-03,3.066398799419403076e-01,-1.713857054710388184e-01,5.188299417495727539e-01,-1.998282683684856342e-01,-6.241271228313361591e-02,-8.324463675846760502e-01,-2.148008849463508785e+00,1.140162953726878925e+00,6.812063784379699394e-01,8.230534699031121226e-01
7.333333333333333037e+00,1.643007306711120408e-03,3.067741394042968750e-01,-1.718305349349975586e-01,5.177597403526306152e-01,-1.998437579846503720e-01,-5.954402241283138913e-02,-8.341770676560743558e-01,-2.149679451505206007e+00,1.141387122523259690e+00,6.805080998590649077e-01,8.262849346375548132e-01
7.349999999999999645e+00,1.669595132293844562e-03,3.069107234477996826e-01,-1.720354855060577393e-01,5.167563557624816895e-01,-1.994378247463636789e-01,-5.668540073752745961e-02,-8.356566097850686159e-01,-2.151189738732511625e+00,1.142318992733663885e+00,6.792999035814415443e-01,8.296743631750435055e-01
7.366666666666666252e+00,1.781056739726499935e-03,3.070613741874694824e-01,-1.723119765520095825e-01,5.156925916671752930e-01,-1.992114519369420633e-01,-5.387534327731392098e-02,-8.371872464394605196e-01,-2.152947851616533903e+00,1.143440267357148210e+00,6.784504762882097584e-01,8.330152411749035535e-01
7.383333333333332860e+00,2.015510063136632512e-03,3.072743713855743408e-01,-1.724542826414108276e-01,5.145826339721679688e-01,-1.987027207136269069e-01,-5.104081236545280481e-02,-8.386398372637600129e-01,-2.154923173504523781e+00,1.144649395268593883e+00,6.776201234757166514e-01,8.362647918014601833e-01
7.399999999999999467e+00,2.173979011679302419e-03,3.075330257415771484e-01,-1.727233529090881348e-01,5.135370492935180664e-01,-1.982733506056403860e-01,-4.782530900127424101e-02,-8.401910594319638159e-01,-2.156349899995936958e+00,1.146029689845923016e+00,6.765268434599298608e-01,8.398253243660368517e-01
7.416666666666666963e+00,2.341889881736838267e-03,3.077796697616577148e-01,-1.730123460292816162e-01,5.124820470809936523e-01,-1.978233518061395246e-01,-4.479361362266559565e-02,-8.419085793059574163e-01,-2.158164773787262458e+00,1.147733860274774198e+00,6.756600993729651172e-01,8.434363116009450101e-01
